date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_cargo,portcalls,import_container,export_container
2022-01-01,2022,1,1,port1201,Singapore,Singapore,SGP,32,43,103,540605,612382
2022-01-02,2022,1,2,port1201,Singapore,Singapore,SGP,35,48,113,907680,661039
2022-01-03,2022,1,3,port1201,Singapore,Singapore,SGP,34,51,130,468361,624631
2022-01-04,2022,1,4,port1201,Singapore,Singapore,SGP,29,40,117,742170,419436
2022-01-05,2022,1,5,port1201,Singapore,Singapore,SGP,31,45,117,732324,580155
2022-01-06,2022,1,6,port1201,Singapore,Singapore,SGP,32,48,108,614747,761078
2022-01-07,2022,1,7,port1201,Singapore,Singapore,SGP,31,42,102,765973,565899
2022-01-08,2022,1,8,port1201,Singapore,Singapore,SGP,32,45,113,641114,675076
2022-01-09,2022,1,9,port1201,Singapore,Singapore,SGP,36,50,107,732113,756273
2022-01-10,2022,1,10,port1201,Singapore,Singapore,SGP,32,51,139,1142359,643758
2022-01-11,2022,1,11,port1201,Singapore,Singapore,SGP,37,50,114,447006,776672
2022-01-12,2022,1,12,port1201,Singapore,Singapore,SGP,35,45,119,229611,891181
2022-01-13,2022,1,13,port1201,Singapore,Singapore,SGP,33,46,120,864673,568964
2022-01-14,2022,1,14,port1201,Singapore,Singapore,SGP,37,54,120,1042898,550033
2022-01-15,2022,1,15,port1201,Singapore,Singapore,SGP,31,44,103,423004,656235
2022-01-16,2022,1,16,port1201,Singapore,Singapore,SGP,28,42,111,355934,590000
2022-01-17,2022,1,17,port1201,Singapore,Singapore,SGP,32,50,123,453513,533894
2022-01-18,2022,1,18,port1201,Singapore,Singapore,SGP,33,46,123,570986,440889
2022-01-19,2022,1,19,port1201,Singapore,Singapore,SGP,30,42,101,368174,514589
2022-01-20,2022,1,20,port1201,Singapore,Singapore,SGP,36,49,118,578902,713124
2022-01-21,2022,1,21,port1201,Singapore,Singapore,SGP,35,49,113,478037,789037
2022-01-22,2022,1,22,port1201,Singapore,Singapore,SGP,43,53,122,1251267,505187
2022-01-23,2022,1,23,port1201,Singapore,Singapore,SGP,27,33,90,731233,465520
2022-01-24,2022,1,24,port1201,Singapore,Singapore,SGP,30,51,143,347090,431941
